Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
DNN_v2_AggClustering_nc:14_link:complete_aff:l2,DNN_v2,Agg_Clustering,14,complete,l2,0.09246266414039095
DNN_v2_AggClustering_nc:14_link:complete_aff:euclidean,DNN_v2,Agg_Clustering,14,complete,euclidean,0.09246266414039095
DNN_v2_AggClustering_nc:12_link:complete_aff:l1,DNN_v2,Agg_Clustering,12,complete,l1,0.09227424875040635
DNN_v2_AggClustering_nc:12_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,12,complete,manhattan,0.09227424875040635
DNN_v2_AggClustering_nc:18_link:average_aff:manhattan,DNN_v2,Agg_Clustering,18,average,manhattan,0.09067549367808385
DNN_v2_AggClustering_nc:18_link:average_aff:l1,DNN_v2,Agg_Clustering,18,average,l1,0.09067549367808385
DNN_v2_AggClustering_nc:12_link:average_aff:cosine,DNN_v2,Agg_Clustering,12,average,cosine,0.09022713790242083
DNN_v2_AggClustering_nc:12_link:complete_aff:euclidean,DNN_v2,Agg_Clustering,12,complete,euclidean,0.08741067023091163
DNN_v2_AggClustering_nc:12_link:complete_aff:l2,DNN_v2,Agg_Clustering,12,complete,l2,0.08741067023091163
DNN_v2_AggClustering_nc:18_link:average_aff:l2,DNN_v2,Agg_Clustering,18,average,l2,0.08538687489268142
DNN_v2_AggClustering_nc:18_link:average_aff:euclidean,DNN_v2,Agg_Clustering,18,average,euclidean,0.08538687489268142
DNN_v2_AggClustering_nc:14_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,14,complete,manhattan,0.08458090639293772
DNN_v2_AggClustering_nc:14_link:complete_aff:l1,DNN_v2,Agg_Clustering,14,complete,l1,0.08458090639293772
DNN_v2_AggClustering_nc:10_link:complete_aff:l1,DNN_v2,Agg_Clustering,10,complete,l1,0.08428466727903625
DNN_v2_AggClustering_nc:10_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,10,complete,manhattan,0.08428466727903625
DNN_v2_AggClustering_nc:16_link:complete_aff:l2,DNN_v2,Agg_Clustering,16,complete,l2,0.08330983373501738
DNN_v2_AggClustering_nc:16_link:complete_aff:euclidean,DNN_v2,Agg_Clustering,16,complete,euclidean,0.08330983373501738
DNN_v2_AggClustering_nc:20_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,20,complete,manhattan,0.08280523484406566
DNN_v2_AggClustering_nc:20_link:complete_aff:l1,DNN_v2,Agg_Clustering,20,complete,l1,0.08280523484406566
DNN_v2_AggClustering_nc:16_link:average_aff:cosine,DNN_v2,Agg_Clustering,16,average,cosine,0.08075236989582571
DNN_v2_AggClustering_nc:18_link:complete_aff:l2,DNN_v2,Agg_Clustering,18,complete,l2,0.0805188474734125
DNN_v2_AggClustering_nc:18_link:complete_aff:euclidean,DNN_v2,Agg_Clustering,18,complete,euclidean,0.0805188474734125
DNN_v2_AggClustering_nc:10_link:complete_aff:cosine,DNN_v2,Agg_Clustering,10,complete,cosine,0.07999617720228007
DNN_v2_AggClustering_nc:18_link:average_aff:cosine,DNN_v2,Agg_Clustering,18,average,cosine,0.07999393044657374
DNN_v2_AggClustering_nc:20_link:average_aff:l2,DNN_v2,Agg_Clustering,20,average,l2,0.07723992535559722
DNN_v2_AggClustering_nc:20_link:average_aff:euclidean,DNN_v2,Agg_Clustering,20,average,euclidean,0.07723992535559722
DNN_v2_AggClustering_nc:20_link:average_aff:cosine,DNN_v2,Agg_Clustering,20,average,cosine,0.07626553886909412
DNN_v2_AggClustering_nc:16_link:complete_aff:l1,DNN_v2,Agg_Clustering,16,complete,l1,0.07622069475414577
DNN_v2_AggClustering_nc:16_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,16,complete,manhattan,0.07622069475414577
DNN_v2_AggClustering_nc:20_link:complete_aff:l2,DNN_v2,Agg_Clustering,20,complete,l2,0.07593008139336486
DNN_v2_AggClustering_nc:20_link:complete_aff:euclidean,DNN_v2,Agg_Clustering,20,complete,euclidean,0.07593008139336486
DNN_v2_AggClustering_nc:18_link:complete_aff:l1,DNN_v2,Agg_Clustering,18,complete,l1,0.0709260348391436
DNN_v2_AggClustering_nc:18_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,18,complete,manhattan,0.0709260348391436
DNN_v2_AggClustering_nc:12_link:complete_aff:cosine,DNN_v2,Agg_Clustering,12,complete,cosine,0.06292553805135057
DNN_v2_AggClustering_nc:14_link:complete_aff:cosine,DNN_v2,Agg_Clustering,14,complete,cosine,0.05847325041643582
DNN_v2_AggClustering_nc:16_link:complete_aff:cosine,DNN_v2,Agg_Clustering,16,complete,cosine,0.04957646897588298
DNN_v2_AggClustering_nc:18_link:complete_aff:cosine,DNN_v2,Agg_Clustering,18,complete,cosine,0.0415411895819493
DNN_v2_AggClustering_nc:20_link:complete_aff:cosine,DNN_v2,Agg_Clustering,20,complete,cosine,0.03207528048138472
DNN_v2_AggClustering_nc:6_link:single_aff:cosine,DNN_v2,Agg_Clustering,6,single,cosine,-0.06539698118601615
DNN_v2_AggClustering_nc:6_link:single_aff:manhattan,DNN_v2,Agg_Clustering,6,single,manhattan,-0.07516182609323042
DNN_v2_AggClustering_nc:6_link:single_aff:l1,DNN_v2,Agg_Clustering,6,single,l1,-0.07516182609323042
DNN_v2_AggClustering_nc:6_link:single_aff:l2,DNN_v2,Agg_Clustering,6,single,l2,-0.09895822601365974
DNN_v2_AggClustering_nc:6_link:single_aff:euclidean,DNN_v2,Agg_Clustering,6,single,euclidean,-0.09895822601365974
DNN_v2_AggClustering_nc:8_link:single_aff:cosine,DNN_v2,Agg_Clustering,8,single,cosine,-0.15563048486949946
DNN_v2_AggClustering_nc:10_link:single_aff:cosine,DNN_v2,Agg_Clustering,10,single,cosine,-0.1673290366753839
DNN_v2_AggClustering_nc:8_link:single_aff:euclidean,DNN_v2,Agg_Clustering,8,single,euclidean,-0.16801216428951452
DNN_v2_AggClustering_nc:8_link:single_aff:l2,DNN_v2,Agg_Clustering,8,single,l2,-0.16801216428951452
DNN_v2_AggClustering_nc:8_link:single_aff:manhattan,DNN_v2,Agg_Clustering,8,single,manhattan,-0.18039525519988744
DNN_v2_AggClustering_nc:8_link:single_aff:l1,DNN_v2,Agg_Clustering,8,single,l1,-0.18039525519988744
DNN_v2_AggClustering_nc:10_link:single_aff:l2,DNN_v2,Agg_Clustering,10,single,l2,-0.18360679998200838
DNN_v2_AggClustering_nc:10_link:single_aff:euclidean,DNN_v2,Agg_Clustering,10,single,euclidean,-0.18360679998200838
DNN_v2_AggClustering_nc:12_link:single_aff:l2,DNN_v2,Agg_Clustering,12,single,l2,-0.18702351228383543
DNN_v2_AggClustering_nc:12_link:single_aff:euclidean,DNN_v2,Agg_Clustering,12,single,euclidean,-0.18702351228383543
DNN_v2_AggClustering_nc:10_link:single_aff:manhattan,DNN_v2,Agg_Clustering,10,single,manhattan,-0.19343656765137524
DNN_v2_AggClustering_nc:10_link:single_aff:l1,DNN_v2,Agg_Clustering,10,single,l1,-0.19343656765137524
DNN_v2_AggClustering_nc:12_link:single_aff:cosine,DNN_v2,Agg_Clustering,12,single,cosine,-0.20290032724512205
DNN_v2_AggClustering_nc:14_link:single_aff:cosine,DNN_v2,Agg_Clustering,14,single,cosine,-0.21847128159818016
DNN_v2_AggClustering_nc:12_link:single_aff:manhattan,DNN_v2,Agg_Clustering,12,single,manhattan,-0.22054811988464657
DNN_v2_AggClustering_nc:12_link:single_aff:l1,DNN_v2,Agg_Clustering,12,single,l1,-0.22054811988464657
DNN_v2_AggClustering_nc:16_link:single_aff:cosine,DNN_v2,Agg_Clustering,16,single,cosine,-0.2285102695036431
DNN_v2_AggClustering_nc:14_link:single_aff:manhattan,DNN_v2,Agg_Clustering,14,single,manhattan,-0.229281774932728
DNN_v2_AggClustering_nc:14_link:single_aff:l1,DNN_v2,Agg_Clustering,14,single,l1,-0.229281774932728
DNN_v2_AggClustering_nc:18_link:single_aff:cosine,DNN_v2,Agg_Clustering,18,single,cosine,-0.23195835195122316
DNN_v2_AggClustering_nc:20_link:single_aff:cosine,DNN_v2,Agg_Clustering,20,single,cosine,-0.2481657232237641
DNN_v2_AggClustering_nc:14_link:single_aff:euclidean,DNN_v2,Agg_Clustering,14,single,euclidean,-0.24960020402522984
DNN_v2_AggClustering_nc:14_link:single_aff:l2,DNN_v2,Agg_Clustering,14,single,l2,-0.24960020402522984
DNN_v2_AggClustering_nc:16_link:single_aff:euclidean,DNN_v2,Agg_Clustering,16,single,euclidean,-0.26997996936706226
DNN_v2_AggClustering_nc:16_link:single_aff:l2,DNN_v2,Agg_Clustering,16,single,l2,-0.26997996936706226
DNN_v2_AggClustering_nc:16_link:single_aff:l1,DNN_v2,Agg_Clustering,16,single,l1,-0.2742137845728129
DNN_v2_AggClustering_nc:16_link:single_aff:manhattan,DNN_v2,Agg_Clustering,16,single,manhattan,-0.2742137845728129
DNN_v2_AggClustering_nc:18_link:single_aff:manhattan,DNN_v2,Agg_Clustering,18,single,manhattan,-0.2800236997547109
DNN_v2_AggClustering_nc:18_link:single_aff:l1,DNN_v2,Agg_Clustering,18,single,l1,-0.2800236997547109
DNN_v2_AggClustering_nc:20_link:single_aff:manhattan,DNN_v2,Agg_Clustering,20,single,manhattan,-0.2837806365274102
DNN_v2_AggClustering_nc:20_link:single_aff:l1,DNN_v2,Agg_Clustering,20,single,l1,-0.2837806365274102
DNN_v2_AggClustering_nc:18_link:single_aff:euclidean,DNN_v2,Agg_Clustering,18,single,euclidean,-0.3150691757858203
DNN_v2_AggClustering_nc:18_link:single_aff:l2,DNN_v2,Agg_Clustering,18,single,l2,-0.3150691757858203
DNN_v2_AggClustering_nc:20_link:single_aff:l2,DNN_v2,Agg_Clustering,20,single,l2,-0.3219876310151095
DNN_v2_AggClustering_nc:20_link:single_aff:euclidean,DNN_v2,Agg_Clustering,20,single,euclidean,-0.3219876310151095
