Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
PCA-0-mean_KMeans_nc:12,PCA-0-mean,KMeans,12,0.3450967585979529
PCA-0-mean_KMeans_nc:14,PCA-0-mean,KMeans,14,0.3189026136660675
PCA-0-mean_KMeans_nc:10,PCA-0-mean,KMeans,10,0.31625082891491346
PCA-0-mean_KMeans_nc:16,PCA-0-mean,KMeans,16,0.3162485706589891
PCA-0-mean_KMeans_nc:8,PCA-0-mean,KMeans,8,0.3025931087046301
PCA-0-mean_KMeans_nc:18,PCA-0-mean,KMeans,18,0.3003615644802046
PCA-0-mean_KMeans_nc:20,PCA-0-mean,KMeans,20,0.2902457877590769
PCA-0-mean_KMeans_nc:6,PCA-0-mean,KMeans,6,0.2535383986695827
