Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
PCA-0-mean_CURE_nc:18,PCA-0-mean,CURE,18,0.4197917308581223
PCA-0-mean_CURE_nc:16,PCA-0-mean,CURE,16,0.4158690438832618
PCA-0-mean_CURE_nc:20,PCA-0-mean,CURE,20,0.4059774312086097
PCA-0-mean_CURE_nc:14,PCA-0-mean,CURE,14,0.40340429487615714
PCA-0-mean_CURE_nc:12,PCA-0-mean,CURE,12,0.31271461628593883
PCA-0-mean_CURE_nc:10,PCA-0-mean,CURE,10,0.2506606376098091
PCA-0-mean_CURE_nc:8,PCA-0-mean,CURE,8,0.16282087317320165
PCA-0-mean_CURE_nc:6,PCA-0-mean,CURE,6,0.13891452990926234
