,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,id,player_fifa_api_id,player_api_id,date,player_name,player_positions,player_positions_general
11,0.08341226,0.09649196,-0.17977619,0.08196818,0.075827055,-0.015318319,0.063532345,-0.015589889,0.03438576,-0.16178069,-0.060460813,-0.19723476,0.10386272,0.05729766,-0.012298547,-0.0457669,0.00055414066,0.07458916,0.025940992,0.09235974,0.08438455,-0.019575153,-0.051153585,-0.15478972,-0.1210716,-0.16723028,0.05705528,-0.043106794,0.058198188,-0.09608062,0.070522115,-0.030701201,310,226014,597948,2016-04-14,Aaron Splaine,"LM, LB",DEF
12,0.11123896,-0.00861755,-0.11729949,0.03192935,-0.028690487,0.1208731,0.047264166,-0.021430131,0.048216186,-0.18096769,-0.09637553,-0.16249652,0.008621387,-0.00428313,0.09199703,0.036098104,-0.086287186,0.050356492,0.085246004,0.061142407,0.06092207,0.04117932,0.1117744,-0.106020726,-0.14683017,-0.14322719,0.059049007,0.086234696,0.07708995,-0.13478851,0.05674624,-0.05593428,318,213569,161644,2016-04-28,Aaron Taylor-Sinclair,"LB, LWB",DEF
13,0.043979734,0.07036164,-0.20551085,0.07042224,0.037407454,-0.06346769,0.047976837,-0.009004554,0.021048069,-0.19859713,-0.040056173,-0.20770018,0.077193074,0.028551415,-0.08551099,-0.0966052,0.017735593,0.06332233,-0.0025804862,0.07413256,0.077719145,-0.038925245,-0.120036304,-0.19896823,-0.114503324,-0.15477856,0.042017866,-0.084327936,0.03598916,-0.12823023,0.059104662,-0.0125861615,336,2335,23499,2016-04-21,Aaron Wilbraham,ST,ATK
14,0.10193837,0.1210739,-0.15980607,0.10694941,0.09364022,-0.029654682,0.08297145,-0.037089523,0.057912044,-0.12530732,-0.06872404,-0.1466457,0.11427532,0.082185745,0.014500521,-0.057284523,-0.022302248,0.08269123,0.022978488,0.09203875,0.10619937,-0.010842204,-0.05619265,-0.18656425,-0.04949798,-0.11797969,0.08949619,0.0046569556,0.053621422,-0.027922379,0.078320764,-0.06940597,358,187939,120919,2016-05-12,Aatif Chahechouhe,"CAM, LM",MID
15,0.12539014,0.10757096,-0.14893939,0.099080145,0.082550295,0.01724863,0.084818475,-0.061397865,0.06874158,-0.13821512,-0.08910176,-0.16562778,0.107744895,0.08182753,0.0578261,-0.022447411,-0.036162816,0.08392263,0.05016951,0.09424747,0.10903551,0.010901753,-0.0054604635,-0.15801135,-0.05741927,-0.12831259,0.09293652,0.041309793,0.06698157,-0.03375078,0.08273812,-0.10474798,379,192274,167027,2016-06-23,Abdelaziz Barrada,"CAM, RM, LM",MID
16,0.119488455,-0.053732798,-0.116898835,0.004691772,-0.10506784,0.15695865,0.040682156,-0.08438649,0.049939215,-0.25643677,-0.12587287,-0.20399907,-0.04662238,-0.049241494,0.10197741,0.05899778,-0.108018026,0.03751214,0.110300735,0.042363606,0.056358412,0.057828322,0.14307556,-0.09909127,-0.17591242,-0.13105997,0.06272272,0.11444406,0.06592943,-0.15692794,0.0423637,-0.1666033,395,188145,128456,2016-03-17,Abdelhamid El Kaoutari,CB,DEF
17,0.06294572,0.12067647,-0.21762732,0.10277334,0.09173796,-0.067771755,0.062207203,-0.01857424,0.03149862,-0.15088528,-0.032195877,-0.19048208,0.11967653,0.0628568,-0.06504256,-0.095633715,0.010510817,0.0818639,0.001918599,0.09274816,0.09519016,-0.037629053,-0.10312067,-0.1519596,-0.08816717,-0.17565826,0.054233078,-0.066955075,0.04778913,-0.09022691,0.07499838,-0.016770326,416,178063,42664,2016-02-04,Abdelkader Ghezzal,"CF, LW, RW",ATK
18,0.04653322,0.09768927,-0.22116299,0.07887468,0.06658384,-0.058520846,0.04165367,0.003185019,0.03376636,-0.14432071,-0.052698735,-0.17799978,0.103523746,0.045452386,-0.046801366,-0.08157371,0.019466199,0.060378026,0.0013288707,0.077441335,0.08351453,-0.03387756,-0.09391509,-0.16773057,-0.09134955,-0.16366805,0.04048687,-0.06472604,0.04199372,-0.097854435,0.051531475,0.0006418526,457,209399,467485,2016-02-04,Abdelmalek El Hasnaoui,CAM,MID
19,0.06689258,-0.1208514,-0.14396447,-0.06606107,-0.16397375,0.15660281,0.005668491,-0.09081985,0.03295665,-0.2634401,-0.13332243,-0.17380802,-0.09883106,-0.11410795,0.08256276,0.066156164,-0.11142006,-0.000890404,0.11124689,0.02890271,0.018146805,0.053088903,0.14196885,-0.099093735,-0.23884982,-0.09602134,0.025859952,0.11331908,0.044944454,-0.16444339,0.0024838895,-0.1981085,491,225711,563215,2016-04-28,Abdou Diallo,"CB, CDM",MID
20,0.1438477,0.08347996,-0.096847914,0.08258776,0.06323522,0.08511902,0.08208095,-0.04706889,0.07160525,-0.13947979,-0.10547146,-0.15795857,0.086789675,0.066323146,0.118280604,0.041427515,-0.05862596,0.080346465,0.08669112,0.10088245,0.09872785,0.0358392,0.08672494,-0.106088676,-0.092062935,-0.124095164,0.09591685,0.09281553,0.085707046,-0.022541586,0.07875865,-0.11126925,501,187048,41093,2016-04-21,Abdou Traore,"CM, CDM",MID
21,-0.02933757,-0.22017859,-0.24538851,-0.16331515,-0.3615976,0.050728094,-0.05779565,-0.029459074,-0.026277095,-0.34804392,0.026106857,-0.33263728,-0.20553315,-0.19719899,-0.072846286,-0.012032907,-0.10122952,-0.099144794,0.07112469,-0.052190952,-0.11217454,-0.0038630106,0.08405916,-0.14351805,-0.3120115,-0.25072533,-0.12175859,0.042621437,-0.0046606734,-0.32347542,-0.04802133,-0.09863023,526,225050,564712,2016-03-10,Abdoul Ba,CB,DEF
22,0.07865848,0.10043707,-0.16586128,0.09382095,0.09194653,-0.026528604,0.06722139,-0.018183487,0.046517152,-0.12581752,-0.050503485,-0.13919266,0.10954156,0.06809076,-0.005518362,-0.061670106,-0.011241134,0.075212814,0.017886564,0.09705862,0.0914481,-0.013958231,-0.067278236,-0.17606446,-0.08037159,-0.12519446,0.06725861,-0.019668348,0.05703796,-0.055659216,0.07796116,-0.027600821,533,188232,67334,2016-01-21,Abdoul Karim Yoda,RM,MID
23,0.06431416,0.14556514,-0.2291427,0.11310859,0.10488507,-0.12134046,0.07734297,-0.020435875,0.03114641,-0.1476867,-0.043541584,-0.19044389,0.13198319,0.08356835,-0.08822123,-0.13078253,0.024969533,0.08155432,-0.028491467,0.07986907,0.101833776,-0.059299186,-0.17377093,-0.24350369,-0.05875508,-0.1519298,0.069450885,-0.10467845,0.025870852,-0.078370385,0.06994034,-0.025281206,555,193953,173955,2016-04-21,Abdoul Razzagui Camara,"LW, ST",ATK
24,0.15915081,0.08528507,-0.1160186,0.08385535,0.06127623,0.09403911,0.08646096,-0.079664886,0.0799814,-0.15567921,-0.119148865,-0.18845674,0.09172161,0.074479625,0.1278729,0.042369336,-0.05921636,0.08413767,0.094290465,0.09825822,0.107630394,0.042603973,0.08809004,-0.10552901,-0.082855135,-0.14089563,0.09852059,0.09917749,0.08805564,-0.036603335,0.08422311,-0.14608651,579,161999,39562,2016-04-21,Abdoulay Konko,RB,DEF
25,0.004010439,-0.20189773,-0.14141148,-0.09742584,-0.32140952,0.16805646,-0.0689294,-0.047034353,0.013128832,-0.33391374,-0.036244906,-0.26784304,-0.1971583,-0.19656909,0.03676992,0.06256692,-0.13528,-0.08526861,0.11497149,-0.042163752,-0.028406203,0.0610383,0.17240113,-0.13082558,-0.28833765,-0.13085113,-0.06387057,0.09665928,0.028341435,-0.29946387,-0.036690027,-0.16925865,610,204826,191784,2016-06-09,Abdoulaye Ba,CB,DEF
26,0.12189323,-0.008111648,-0.13172643,0.03511057,-0.02784554,0.141362,0.048871696,-0.0710847,0.05636423,-0.1830644,-0.10567947,-0.15401915,0.008032575,-0.0065736063,0.112004146,0.044143166,-0.101427235,0.05156742,0.09765902,0.06671114,0.064848036,0.053456783,0.12434827,-0.08152822,-0.15310153,-0.14143775,0.0633537,0.103908785,0.07891388,-0.12880789,0.063011214,-0.11678368,641,199313,210400,2016-04-28,Abdoulaye Bamba,RB,DEF
27,0.11408101,0.08891645,-0.117464,0.08893824,0.08095402,0.0355208,0.076821595,-0.03339819,0.06488876,-0.12008934,-0.08030482,-0.12616083,0.09728214,0.07084399,0.07068442,-0.006150529,-0.0420468,0.07660813,0.05401163,0.10066677,0.09598932,0.017053239,0.01395987,-0.1511951,-0.07573063,-0.10520259,0.08688401,0.05156601,0.07293306,-0.023096204,0.080452904,-0.07191062,656,202330,201915,2016-04-21,Abdoulaye Diaby,ST,ATK
28,0.1018237,0.1029071,-0.15985946,0.100562565,0.08948947,0.0020821393,0.07407996,-0.04812173,0.06270112,-0.12562914,-0.06351441,-0.14362451,0.1101114,0.07485291,0.029808298,-0.04275163,-0.030190952,0.082152136,0.039235726,0.09986876,0.104382336,0.005106453,-0.02640345,-0.14521924,-0.058738876,-0.12763269,0.07955225,0.026962645,0.06691061,-0.038476802,0.08552198,-0.07035748,676,204171,194479,2016-03-24,"Abdoulaye Diallo Sadio,22","ST, LM, CF",ATK
29,-0.96314055,-0.88063526,-0.920938,-1.0111266,-1.126804,-0.9190991,-0.609888,0.67350286,-0.5152188,-0.6484262,0.39386183,-0.87398285,-0.75893784,-0.72503,-1.1053598,-0.5078767,0.34797385,-0.77534574,-0.43242484,-0.6171644,-0.70982236,-0.48841667,-0.8211976,-0.7614413,-0.6720794,-0.62225634,-0.87069607,-0.9548858,-0.61081517,-1.028001,-0.7190161,0.8414866,696,197233,189181,2016-04-21,Abdoulaye Diallo,GK,GK
30,0.16371888,0.071483806,-0.14502344,0.07961354,0.060688034,0.11374284,0.08055138,-0.11749327,0.08887309,-0.16933534,-0.12080222,-0.21101126,0.09638296,0.07720025,0.13267602,0.039642703,-0.058468714,0.08538283,0.10431594,0.10166703,0.11268686,0.055879705,0.087748684,-0.087169975,-0.08071177,-0.16292575,0.08737794,0.10554739,0.097262636,-0.06639052,0.09602213,-0.16740263,715,208135,352887,2016-03-03,Abdoulaye Doucoure,"CM, CAM",MID
31,0.108567834,-0.029880285,-0.1287204,0.0117561,-0.06134995,0.12542981,0.039549142,-0.065008976,0.058836393,-0.2308872,-0.088512205,-0.22539727,0.0016798079,-0.010367464,0.08704944,0.041456122,-0.062462624,0.042291354,0.104551785,0.06831539,0.05762602,0.05323656,0.109910764,-0.094231464,-0.14566101,-0.15817411,0.037241057,0.10546951,0.08365343,-0.13945854,0.06083393,-0.11460036,766,210450,439366,2016-05-05,Abdoulaye Toure,"CDM, CM",MID
32,0.13978474,0.07994963,-0.09671176,0.0812682,0.06375461,0.08637647,0.079382524,-0.044393,0.070741236,-0.13705553,-0.10132322,-0.15272313,0.08615878,0.064218424,0.11614657,0.04053751,-0.058272637,0.07936404,0.086323924,0.10247113,0.096874654,0.03643813,0.08620317,-0.10236664,-0.09463637,-0.12325486,0.09268941,0.092077665,0.08689326,-0.024252791,0.07947121,-0.10434929,773,189568,148827,2016-03-31,Abdoulwahid Sissoko,"CDM, LB",DEF
33,0.13424273,0.049321264,-0.09878867,0.062353194,0.026220664,0.10155962,0.07064126,-0.068638414,0.068694316,-0.17163906,-0.10443423,-0.17232619,0.058060102,0.039026663,0.11071344,0.046869814,-0.06696587,0.06979173,0.09659069,0.094542116,0.09082716,0.043614343,0.09548865,-0.09942867,-0.11427337,-0.117863335,0.08513826,0.10072908,0.08280691,-0.04300054,0.07330676,-0.14349374,803,190193,419681,2016-05-05,Abdul Aziz Tetteh,CDM,MID
34,0.08592081,0.12060865,-0.17992064,0.105354995,0.09477007,-0.047062494,0.075584635,-0.028799409,0.04830914,-0.13167027,-0.054799706,-0.15711233,0.116798505,0.07634256,-0.015991844,-0.07437773,-0.009379648,0.08143501,0.012292646,0.0920401,0.101574995,-0.021683317,-0.08013111,-0.18294942,-0.061627984,-0.13366356,0.07682427,-0.02423092,0.05016556,-0.048968434,0.07711413,-0.047167763,816,198420,196947,2015-09-21,Abdul Majeed Waris,ST,ATK
35,0.101608425,-0.06682503,-0.10999932,-0.0011106804,-0.10551519,0.1615648,0.0308564,-0.070832446,0.04309279,-0.23666666,-0.10681016,-0.16507503,-0.055789217,-0.06367189,0.09645708,0.05831519,-0.11822064,0.03058841,0.10814475,0.046796996,0.044519983,0.05841422,0.14860395,-0.08335416,-0.19409595,-0.117325224,0.052609134,0.11594638,0.06668484,-0.15374938,0.04095632,-0.14486858,836,184768,89405,2016-05-12,Abdul Osman,CDM,MID
36,0.15343165,0.08328061,-0.11101316,0.08295316,0.06200804,0.09228578,0.08415476,-0.0700887,0.07744374,-0.15044306,-0.113811985,-0.17830619,0.090174176,0.071457855,0.12446791,0.04173842,-0.058910035,0.08273132,0.09216976,0.099627726,0.10452577,0.04111969,0.08751042,-0.10405111,-0.08635244,-0.1361948,0.0964421,0.097214475,0.087966725,-0.033721212,0.08312383,-0.1340874,858,209620,324910,2016-03-17,Abdul Rahman Baba,"LB, LM",MID
