,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,player_positions_general
0,CB,218353,0.23276292424695047,-0.6727871149737837,-0.22815769931659136,-0.305577034494047,-0.40737738134785995,0.18979779616811784,0.08458485803072228,-0.13839820818134158,-0.1139713829687669,0.15215237360269193,DEF
1,LB,189615,-1.0993583332370847,0.10607213462160477,1.2036576342078917,0.7332244548929227,-0.3936208705693119,-0.2377711109584529,0.3613609695399137,0.18337632591407393,0.0227484478360338,-0.037837858703332526,DEF
2,"CB, RB",140161,0.3263590855278876,-0.9659829921094872,-0.2347465724732056,-0.20135778831977053,-0.4374871646591721,0.3051884439218251,-0.12005946006011396,0.08246795019302362,-0.1266746528547295,0.26186640329450483,DEF
3,CB,17725,0.3762577272418034,-1.0654331512302266,-0.23151392184467776,-0.15179052702321136,-0.4677726303600519,0.29252303254921314,0.020891438538346345,0.022543399170907013,-0.11307296945421863,0.24569044021035025,DEF
4,"CAM, CM, LM",158138,-0.9389907900648494,0.46333557855874685,1.0456528870272974,-0.8507552360650459,0.24084624595636975,-0.22998525406589737,-0.3998746518774829,0.12987511679367245,0.15112997755733976,-0.05654106406416487,MID
5,"CDM, CM",221280,0.03646038862890427,-0.6152282848202699,-0.6155249776022484,0.10139894290230192,0.7877629398754501,-0.48674736521120815,0.3562996696965687,-0.3251767918412244,0.03562518645215603,0.07524633623509137,MID
6,"RM, LM",152747,-0.7453316647011249,1.2838410376399572,-0.18204077444802333,0.31102559765640564,-0.5516937839877925,-0.4348667890648435,0.34056340024330056,-0.0685943693763012,0.12205932387645446,-0.166117692571094,MID
7,LB,188621,-0.7372408475805736,-0.38175526529357323,1.1075935046335539,-0.4926154012212802,0.03221006249518785,-0.135814214484481,0.054011663899380634,0.052059731060030624,0.031208076071099253,-0.023485339560341004,DEF
8,"CM, CAM",194958,-0.8499437960129195,-0.07330274108474275,-0.24421248840600868,-0.7002515083108246,-0.3289153187024624,-0.31507779375825967,0.0029394804111138365,0.29065950757923614,0.16450373907578414,0.12648473552983094,MID
9,"LW, RW, CAM",183853,-0.36972350653413366,0.5164963701274818,1.0918182367172982,-0.7497655544744081,0.2418081837502282,-0.2997256083282206,0.0815501059588335,-0.23376464834185257,0.16736902388557337,-0.09598637859431261,MID
10,"CM, RW, CDM",186561,-1.806422122103316,0.24538308638323367,-0.6245505285491664,0.9006230090308499,0.4308863759273511,-0.5529649471064491,-0.21931973188405957,0.2827141759920541,0.025226634446243106,0.12334839398440042,MID
11,"LM, LB",226014,0.45844427158963924,0.0754404472784601,1.1289454908596457,-0.4699422602845604,0.18018157900409965,-0.025416092612163467,0.27146647959118275,-0.5293338347556726,0.0948374788941923,0.2936661871102175,DEF
12,"LB, LWB",213569,-0.3013553811092552,0.010205370414699072,1.1961088226551075,0.8978290975818448,-0.36158266083290774,0.1359008005593217,0.24580590050528192,-0.18586216337082795,-0.1952366954737143,0.00591902423468576,DEF
13,ST,2335,0.3212825797083796,0.35000244765565514,-0.3387609340451131,-0.6798122332478018,-0.11890376855732676,0.33849942703343383,-0.6155186575214846,-0.36595588407372687,-0.15695945747316767,0.059002164560314777,ATK
14,"CAM, LM",187939,-0.9196482965121725,1.3552752955158611,-0.23111436378458872,0.20748740040273442,-0.5003788642222129,-0.1533890100405028,-0.15826504930278862,-0.0692009167518853,0.06654262027514109,0.07520048473530479,MID
15,"CAM, RM, LM",192274,-0.6410975975969349,0.44508855554659876,-0.2735816505472998,-0.8580154671824263,-0.19333727923883937,-0.2393505736661272,-0.1592418662883996,0.061344055556041284,0.1424676454826772,-0.010280176395123528,MID
16,CB,188145,-0.09712028782699346,-1.093212406120267,1.119646751177692,-0.1095254569193245,-0.09579191686684929,0.14177462783329928,0.15482606725807851,-0.016105464141578322,-0.18608066183246313,-0.22425579439772678,DEF
17,"CF, LW, RW",178063,-0.13847454651706873,0.4183968957335819,-0.2883843976633133,-0.7636011079215068,-0.16251434077445273,0.06854655984168903,-0.2934638868900385,-0.2695475751368411,-0.05145395180940927,-0.0011919407310666517,ATK
18,CAM,209399,0.20994478971375283,0.33360294868788815,1.1088716414884427,-0.5886650308192366,0.22417638842469315,-0.15379493460232782,0.1969625653758883,-0.4057726782263911,0.09335436405805671,-0.06855130414715126,MID
19,"CB, CDM",225711,0.41642780144524416,-0.920507367491271,1.1310845674380154,-0.08296867812778189,-0.03533289817997606,0.16545444440418838,0.21552598602588915,-0.194193156074583,-0.1697636545451963,-0.15534961253811477,MID
20,"CM, CDM",187048,-0.6795913894688818,-0.19525752877980362,-0.2413356662211598,-0.6457761134068575,-0.35468043009879385,-0.14002145670834648,0.08534100356434667,0.07594871533142608,0.0957608566477744,0.16039959326512285,MID
21,CB,225050,0.8849288394759556,-0.9695996202933729,-0.23201295247892248,-0.10073309617926927,-0.4151071309890889,0.5700459536394543,-0.2111341421734937,-0.18476590361621287,-0.3010425097152508,0.3115962462287114,DEF
22,RM,188232,-0.4912247750493129,0.12894322883464515,1.0771846185566927,-0.623844034990421,0.15690673295269253,-0.100364528171591,-0.06205409103708549,-0.1988142269354862,-0.043198551725688504,-0.25474886546363856,MID
23,"LW, ST",193953,-0.32811750434149256,0.6540233298272462,1.0516196636449928,-0.7825400323070221,0.2959617173389173,-0.18542716994032496,-0.2377876616468699,-0.23071085307582523,0.0329251182454879,-0.28702190031408464,ATK
24,RB,161999,-1.228868824875788,0.08474593785359655,-0.17634355384234363,0.6362031434682472,-0.8140043130303765,-0.08198167874105466,0.09571466781299046,0.3248315731301094,-0.09852302803980274,-0.04555104842654772,DEF
25,CB,204826,0.36854108904269656,-0.9641633215413069,-0.25894189476687857,0.6558655109659787,-0.6465805179649518,0.8378753095353573,-0.4800486229588074,0.024232748187020547,0.7779811191567858,-0.12108809025747592,DEF
26,RB,199313,-0.12327253605979578,-0.6529144965112545,-0.19644099221192915,-0.3359829945557055,-0.4486063898686101,-0.11342472211080985,0.3811264112675813,0.029531483952684227,-0.046485934151130316,-0.12729257005225433,DEF
27,ST,202330,-0.8485336946390398,0.8879320777578861,1.1313138521508295,0.5013463489195561,-0.19303316217628813,-0.14190352413783688,0.030875388372205714,-0.1436489912020653,-0.08011984259154598,-0.3098041710736802,ATK
28,"ST, LM, CF",204171,-0.535897681531197,0.3720991679878885,-0.2925937626392236,-0.8141909190472459,-0.1931859394124338,-0.10819012527799282,-0.30464917150916343,0.029662560252219423,0.038259798113776826,-0.07299941189238636,ATK
29,GK,197233,4.113138239363004,0.1901706700045226,-0.14327368670270854,0.1824889443638837,-0.02567954074081565,-0.21658448454817913,0.04424707270858241,0.2215148987991139,0.03132157841975462,-0.05499397764374287,GK
30,"CM, CAM",208135,-1.0760413166420744,0.1395101833618713,-0.21366303492043023,0.6280750545301645,-0.7688459670113859,0.03490360255232448,-0.14285478882988134,0.2802530966626345,-0.13217288710390965,0.06400956786496531,MID
31,"CDM, CM",210450,-0.18506789512750724,-0.6532968633917218,-0.6694739160769334,0.8778356408676897,0.5917401937249679,0.24439427882983777,-0.3414855877328873,-0.32163536446877394,0.9222958621354579,-0.03323958087474089,MID
32,"CDM, LB",189568,-0.7631877625283144,0.11895743572125995,1.1498799285329733,0.7607849215377382,-0.33303333294398696,0.09816940798792997,-0.10131849549546242,0.08904620510861197,-0.1300942834120172,0.08002060500002117,DEF
33,CDM,190193,-0.14814999835230605,-0.7252626452675884,-0.6522574002952093,0.10081838558885825,0.7941612075260265,-0.29504018106993535,-0.17365738421594057,-0.07899992544488336,-0.10316103011530835,0.13730729039863546,MID
34,ST,198420,-0.6091634156305809,0.6011270784707271,-0.5778534948658541,-0.6488672738187651,0.7909386968635541,0.47032602118001965,0.5708946181497064,0.10893047560600137,-0.12813820845148008,-0.4430846602437086,ATK
35,CDM,184768,-0.04806415450851128,-0.9947943854637469,-0.6303987409250196,0.23061711178996044,0.7052125858104017,-0.27092995114141094,0.2636377833911212,-0.3632192838074741,-0.17154240691803166,-0.061016288361178096,MID
36,"LB, LM",209620,-1.1475847253438922,-0.12418516045421983,1.1820880334246233,0.8229346565342399,-0.4490076777964777,-0.07185955138768546,0.2630100914107181,0.17120884727923436,-0.17182081252855588,-0.353246241076767,MID
37,CB,207716,0.4580480960286326,-0.9814489799010425,-0.6354382791684676,0.31530032275266023,0.7478840645213432,-0.12326969478079172,0.11192697747252257,-0.44980972384790113,-0.23885062643157018,-0.015726831366030824,DEF
38,"CDM, RB",229026,-0.5648357479426296,-0.52281524056701,-0.22960006579462336,-0.4670224429668657,-0.4317127687913277,-0.17374421964253786,0.18251416632079506,0.2014591525657046,-0.021466140567543094,-0.14429243273628137,DEF
39,"CDM, CM",177974,-0.908736595217955,-0.6601065910114694,-0.6955719187357666,0.7412267680548424,0.5700353146129915,0.1384834896968115,-0.5232630218413021,-0.0395130143301564,1.0140456310488497,0.06534451888030544,MID
40,ST,188484,-0.44513413354530484,0.7861039954493498,0.735754075639957,-0.6272050848178219,1.3042025636212742,0.6364358944608064,0.08300506220145933,0.12219531729902088,-0.17089959302904983,-0.41098675871356294,ATK
41,ST,208005,0.007484091826929846,0.6189622368993385,-0.3145673655832377,-0.7922234195986824,-0.1039059050213205,0.07865151597361966,-0.4065056728017462,-0.33843211206562146,-0.12213802325430913,-0.2220565761404657,ATK
42,LB,202153,-0.4996585163883015,-0.1333881986131819,-0.17306039957383001,0.8396254828103192,-0.8239635340873862,0.16527511489802033,0.17978292223258263,-0.001458598000981247,-0.2362236984966792,-0.018298353895952087,DEF
43,"LB, RB",159580,-0.8017306595083146,-0.060911055959803805,-0.17043676887584244,0.7651980836681535,-0.8099911463491642,0.08067588544265271,-0.030210838277621724,0.273750774905469,-0.19356346598388902,0.10743640181123187,DEF
44,ST,187175,0.12328989234824195,0.5736209181589919,-0.5631403633175166,-0.5287861800680898,0.8382288803137824,0.6616629350186456,0.4180497168245548,0.02445620661266876,-0.13483248384290028,-0.028248952007924436,ATK
45,"CDM, CM",163423,-1.178988649373846,-0.36104011072055786,-0.28682149284183645,-0.6627176865249839,-0.3890798052043382,-0.015431926948733304,-0.33084139392302997,0.3063416800867087,-0.07549492546216663,-0.06298313564276148,MID
