,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
0,-3.013214972599031,-1.880550611059719,-0.2087120964915345,218353,CB,DEF
1,-2.566716842898584,-2.3641768605509985,0.3347763322114644,189615,LB,DEF
2,-1.1737606457106544,-2.538697136438786,-0.2142373685182435,140161,"CB, RB",DEF
3,-1.8320564956894678,-2.653319934278773,-1.1009358658604937,17725,CB,DEF
4,-1.3646834276124176,2.168054263290828,0.5140976178121992,158138,"CAM, CM, LM",MID
5,-1.3692027860315907,-0.11659327037437704,1.6709147565011246,221280,"CDM, CM",MID
6,-1.6601132510027756,1.5192951921030895,0.368812957896959,152747,"RM, LM",MID
7,-2.391871324592534,-0.4273682004269696,0.6524665546599545,188621,LB,DEF
8,-2.339469318365112,0.4610330257830068,2.5108166306369997,194958,"CM, CAM",MID
9,-1.5973175606820875,1.3872762376988343,-0.1690827698747959,183853,"LW, RW, CAM",MID
10,-3.425902750085052,0.8951992198590495,1.8193798369501297,186561,"CM, RW, CDM",MID
11,-1.6389628216233394,0.2539722267768795,0.8087618556715872,226014,"LM, LB",DEF
12,-2.4740962950194345,-1.9056183845868606,-0.7425846820620143,213569,"LB, LWB",DEF
13,-2.170494069019452,2.9487826435636078,-2.1989841188179255,2335,ST,ATK
14,-2.5800927629620722,2.5571166456812793,-0.1957335422894479,187939,"CAM, LM",MID
15,-2.848729719823026,1.6119698544959846,0.6051261403362187,192274,"CAM, RM, LM",MID
16,-2.4968611857175476,-3.4163886084578956,-1.1897912604110703,188145,CB,DEF
17,-2.934888038859037,1.7791150148809607,-1.3531354302186163,178063,"CF, LW, RW",ATK
18,-1.7106265199525068,1.3053332898517471,0.5251298222955698,209399,CAM,MID
19,-2.7787306965708134,-2.7677716573360502,-0.7617521790606163,225711,"CB, CDM",MID
20,-2.231854546832479,0.20184949519983977,1.5375645800797444,187048,"CM, CDM",MID
21,-0.8542732773279014,-2.0696291214290925,-1.4297543947854991,225050,CB,DEF
22,-2.188134272134599,0.6533464290754342,-0.1660744516666554,188232,RM,MID
23,-1.447850694595084,2.3624219423464017,-0.355061653860156,193953,"LW, ST",ATK
24,-1.6058358860544404,-1.1938293310091035,0.46745986959426117,161999,RB,DEF
25,-1.1456478230995661,-2.8930006529391026,-1.780393582385557,204826,CB,DEF
26,-2.268048674481056,-2.3286662533419067,0.12838796758054857,199313,RB,DEF
27,-2.6055762319671323,0.9441745107679366,-0.832932942341254,202330,ST,ATK
28,-2.330898814416695,1.8210043955733544,0.24503730836336188,204171,"ST, LM, CF",ATK
29,21.419419555429293,-0.1241551979773737,0.17348812273350248,197233,GK,GK
30,-1.5315036252570569,0.17495779249176593,1.5987425855169772,208135,"CM, CAM",MID
31,-2.542049077436142,-0.28958321478194,1.3418911401817626,210450,"CDM, CM",MID
