,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,player_positions,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,player_name,height,weight,preferred_foot_left,preferred_foot_right,attacking_work_rate_high,attacking_work_rate_low,attacking_work_rate_medium,defensive_work_rate_high,defensive_work_rate_low,defensive_work_rate_medium,player_positions_general
3672,106545,193304,139895,2016-05-12,64.0,64.0,58.0,60.0,48.0,59.0,43.0,56.0,58.0,44.0,56.0,55.0,65.0,76.0,64.0,65.0,61.0,52.0,70.0,64.0,82.0,50.0,91.0,72.0,63.0,50.0,53.0,57.0,66.0,67.0,7.0,9.0,11.0,11.0,8.0,RB,59,59,59,59,59,59,59,59,58,58,58,60,58,58,58,60,64,64,64,64,64,64,67,67,67,64,Lukasz Burliga,185.42,179,0,1,0,1,0,0,0,1,DEF
3673,106568,164835,30973,2015-09-21,78.0,78.0,14.0,13.0,11.0,20.0,17.0,14.0,18.0,12.0,32.0,22.0,50.0,47.0,52.0,71.0,44.0,14.0,68.0,25.0,65.0,20.0,43.0,16.0,15.0,52.0,22.0,11.0,12.0,13.0,77.0,80.0,73.0,78.0,84.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lukasz Fabianski,190.5,183,0,1,0,0,1,0,0,1,GK
3674,106614,188063,118530,2016-02-18,63.0,63.0,64.0,43.0,55.0,66.0,59.0,67.0,71.0,59.0,63.0,66.0,72.0,75.0,72.0,68.0,70.0,69.0,74.0,72.0,58.0,63.0,65.0,65.0,57.0,70.0,52.0,55.0,54.0,48.0,7.0,7.0,12.0,6.0,15.0,LM,58,58,58,66,62,62,62,66,65,65,65,68,64,64,64,68,59,60,60,60,59,56,52,52,52,56,Lukasz Hanzel,180.34,157,0,1,0,0,1,0,0,1,MID
3675,106635,165667,68802,2016-05-05,65.0,65.0,53.0,60.0,65.0,67.0,45.0,64.0,64.0,51.0,64.0,66.0,70.0,59.0,69.0,67.0,73.0,58.0,90.0,90.0,72.0,57.0,66.0,48.0,61.0,64.0,54.0,30.0,40.0,47.0,13.0,13.0,16.0,7.0,13.0,LW,62,62,62,62,62,62,62,62,63,63,63,63,62,62,62,63,56,55,55,55,56,54,50,50,50,54,Lukasz Janoszka,180.34,170,0,1,1,0,0,0,0,1,ATK
3676,106658,148470,13334,2016-05-05,65.0,65.0,59.0,54.0,42.0,64.0,57.0,67.0,59.0,50.0,62.0,67.0,71.0,77.0,73.0,62.0,73.0,65.0,79.0,68.0,58.0,54.0,70.0,49.0,59.0,64.0,62.0,38.0,33.0,41.0,13.0,11.0,11.0,6.0,11.0,CAM,63,63,63,68,67,67,67,68,67,67,67,68,64,64,64,68,59,56,56,56,59,56,50,50,50,56,Lukasz Madej,175.26,154,0,1,1,0,0,0,0,1,MID
3677,106683,148487,13515,2016-03-10,62.0,62.0,54.0,55.0,55.0,62.0,55.0,55.0,50.0,39.0,47.0,63.0,64.0,55.0,59.0,49.0,65.0,59.0,62.0,83.0,76.0,63.0,57.0,59.0,59.0,55.0,56.0,68.0,70.0,60.0,15.0,15.0,11.0,12.0,6.0,RB,59,59,59,58,58,58,58,58,58,58,58,59,59,59,59,59,63,62,62,62,63,63,63,63,63,63,Lukasz Mierzejewski,182.88,176,0,1,0,0,1,0,0,1,DEF
3678,106702,171601,69485,2016-05-12,66.0,66.0,60.0,65.0,44.0,75.0,42.0,65.0,65.0,66.0,66.0,72.0,77.0,63.0,75.0,60.0,73.0,71.0,73.0,92.0,65.0,70.0,59.0,62.0,50.0,59.0,63.0,62.0,62.0,53.0,16.0,11.0,12.0,16.0,7.0,CM,61,61,61,65,64,64,64,65,65,65,65,66,67,67,67,66,66,66,66,66,66,64,60,60,60,64,Lukasz Piatek,180.34,157,1,0,0,0,1,0,0,1,MID
3679,106721,173771,13518,2016-05-12,80.0,80.0,81.0,61.0,74.0,75.0,66.0,74.0,73.0,47.0,68.0,76.0,75.0,82.0,67.0,80.0,67.0,76.0,75.0,79.0,79.0,68.0,83.0,81.0,71.0,66.0,65.0,79.0,84.0,84.0,14.0,11.0,14.0,6.0,12.0,RB,73,73,73,73,73,73,73,73,72,72,72,74,74,74,74,74,80,79,79,79,80,81,81,81,81,81,Lukasz Piszczek,182.88,174,0,1,0,0,1,0,0,1,DEF
3680,106748,210416,229737,2016-03-31,64.0,64.0,59.0,50.0,52.0,66.0,34.0,64.0,48.0,64.0,57.0,63.0,83.0,93.0,73.0,48.0,80.0,51.0,64.0,59.0,44.0,52.0,56.0,46.0,67.0,60.0,50.0,35.0,56.0,58.0,8.0,12.0,11.0,9.0,10.0,RM,59,59,59,65,63,63,63,65,64,64,64,64,60,60,60,64,60,56,56,56,60,59,53,53,53,59,Lukasz Sierpina,175.26,150,1,0,1,0,0,1,0,0,MID
3681,106762,189908,178732,2016-05-05,73.0,77.0,19.0,11.0,10.0,29.0,17.0,18.0,12.0,19.0,26.0,22.0,52.0,52.0,48.0,68.0,38.0,23.0,58.0,31.0,58.0,15.0,33.0,17.0,13.0,32.0,22.0,10.0,12.0,12.0,78.0,70.0,51.0,75.0,79.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lukasz Skorupski,187.96,185,0,1,0,0,1,0,0,1,GK
