,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,player_positions,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,player_name,height,weight,preferred_foot_left,preferred_foot_right,attacking_work_rate_high,attacking_work_rate_low,attacking_work_rate_medium,defensive_work_rate_high,defensive_work_rate_low,defensive_work_rate_medium,player_positions_general
0,1,218353,505942,2016-02-18,67.0,71.0,49.0,44.0,71.0,61.0,44.0,51.0,45.0,39.0,64.0,49.0,60.0,64.0,59.0,47.0,65.0,55.0,58.0,54.0,76.0,35.0,71.0,70.0,45.0,54.0,48.0,65.0,69.0,69.0,6.0,11.0,10.0,8.0,8.0,CB,53,53,53,51,51,51,51,51,52,52,52,53,53,53,53,53,56,58,58,58,56,58,62,62,62,58,Aaron Appindangoye,182.88,187,0,1,0,0,1,0,0,1,DEF
1,6,189615,155782,2016-04-21,74.0,76.0,80.0,53.0,58.0,71.0,40.0,73.0,70.0,69.0,68.0,71.0,79.0,78.0,78.0,67.0,90.0,71.0,85.0,79.0,56.0,62.0,68.0,67.0,60.0,66.0,59.0,76.0,75.0,78.0,14.0,7.0,9.0,9.0,12.0,LB,62,62,62,67,65,65,65,67,66,66,66,69,67,67,67,69,74,70,70,70,74,73,69,69,69,73,Aaron Cresswell,170.18,146,1,0,1,0,0,0,0,1,DEF
2,65,140161,30572,2016-04-21,69.0,69.0,57.0,21.0,68.0,65.0,48.0,56.0,38.0,40.0,61.0,62.0,33.0,34.0,62.0,57.0,41.0,59.0,71.0,49.0,90.0,29.0,70.0,62.0,26.0,54.0,37.0,72.0,71.0,68.0,15.0,12.0,13.0,12.0,11.0,RB,48,48,48,48,47,47,47,48,51,51,51,50,56,56,56,50,59,65,65,65,59,60,69,69,69,60,Aaron Galindo,182.88,198,0,1,0,0,1,0,0,1,DEF
3,88,17725,23780,2015-12-24,70.0,70.0,46.0,34.0,73.0,65.0,33.0,47.0,42.0,25.0,58.0,58.0,33.0,31.0,41.0,68.0,52.0,48.0,67.0,60.0,75.0,26.0,66.0,68.0,29.0,41.0,45.0,75.0,73.0,71.0,8.0,6.0,16.0,12.0,11.0,CB,48,48,48,45,46,46,46,45,48,48,48,48,55,55,55,48,60,66,66,66,60,62,70,70,70,62,Aaron Hughes,182.88,154,0,1,0,0,1,0,0,1,DEF
4,113,158138,27316,2016-04-28,77.0,77.0,77.0,72.0,64.0,79.0,77.0,78.0,77.0,76.0,70.0,79.0,75.0,69.0,76.0,80.0,72.0,76.0,65.0,75.0,65.0,76.0,59.0,55.0,77.0,76.0,81.0,28.0,34.0,35.0,15.0,12.0,7.0,16.0,15.0,LM,75,75,75,78,77,77,77,78,78,78,78,78,73,73,73,78,63,64,64,64,63,59,53,53,53,59,Aaron Hunt,182.88,161,1,0,0,0,1,0,0,1,MID
5,140,221280,564793,2016-04-21,61.0,74.0,48.0,32.0,47.0,64.0,34.0,54.0,56.0,40.0,64.0,63.0,69.0,67.0,60.0,61.0,80.0,53.0,71.0,68.0,59.0,38.0,75.0,54.0,39.0,61.0,42.0,52.0,58.0,57.0,8.0,13.0,14.0,14.0,15.0,CM,50,50,50,54,54,54,54,54,56,56,56,57,59,59,59,57,59,61,61,61,59,59,58,58,58,59,Aaron Kuhl,172.72,146,0,1,0,0,1,1,0,0,MID
6,147,152747,30895,2015-10-16,77.0,77.0,78.0,66.0,28.0,76.0,68.0,84.0,63.0,55.0,54.0,81.0,89.0,89.0,93.0,74.0,92.0,62.0,71.0,75.0,56.0,57.0,57.0,37.0,71.0,73.0,62.0,30.0,34.0,35.0,14.0,7.0,7.0,16.0,11.0,LM,68,68,68,80,72,72,72,80,77,77,77,79,67,67,67,79,59,56,56,56,59,50,41,41,41,50,Aaron Lennon,165.1,139,0,1,1,0,0,0,0,1,MID
7,180,188621,101042,2015-12-03,69.0,69.0,63.0,42.0,59.0,70.0,60.0,70.0,72.0,67.0,53.0,74.0,75.0,77.0,69.0,70.0,72.0,67.0,70.0,78.0,66.0,61.0,73.0,67.0,65.0,71.0,56.0,67.0,68.0,65.0,7.0,15.0,7.0,10.0,15.0,LB,63,63,63,67,67,67,67,67,68,68,68,68,67,67,67,68,70,68,68,68,70,69,67,67,67,69,Aaron Meijers,175.26,170,1,0,0,0,1,0,0,1,DEF
8,207,194958,231592,2016-02-04,75.0,78.0,74.0,69.0,46.0,79.0,65.0,73.0,73.0,78.0,79.0,73.0,69.0,71.0,71.0,66.0,67.0,70.0,72.0,83.0,64.0,72.0,75.0,63.0,73.0,81.0,73.0,56.0,65.0,62.0,11.0,8.0,12.0,11.0,12.0,CAM,65,65,65,69,69,69,69,69,70,70,70,70,71,71,71,70,68,68,68,68,68,66,63,63,63,66,Aaron Mooy,175.26,150,0,1,0,0,1,0,0,1,MID
9,243,183853,40719,2016-04-28,70.0,71.0,64.0,67.0,54.0,64.0,61.0,75.0,66.0,68.0,56.0,76.0,82.0,78.0,82.0,66.0,84.0,74.0,70.0,67.0,51.0,72.0,45.0,45.0,70.0,62.0,67.0,36.0,31.0,37.0,14.0,13.0,9.0,15.0,10.0,CAM,67,67,67,70,68,68,68,70,68,68,68,69,62,62,62,69,56,54,54,54,56,51,45,45,45,51,Aaron Niguez,170.18,143,1,0,0,0,1,0,0,1,MID
10,270,186561,75489,2016-03-10,82.0,85.0,75.0,75.0,58.0,83.0,79.0,81.0,70.0,70.0,80.0,82.0,69.0,69.0,77.0,82.0,75.0,81.0,65.0,92.0,69.0,75.0,74.0,69.0,83.0,81.0,75.0,62.0,74.0,68.0,6.0,11.0,5.0,10.0,8.0,CDM,77,77,77,79,79,79,79,79,80,80,80,80,81,81,81,80,76,77,77,77,76,73,70,70,70,73,Aaron Ramsey,177.8,154,0,1,1,0,0,1,0,0,
11,310,226014,597948,2016-04-14,55.0,63.0,55.0,52.0,43.0,55.0,42.0,53.0,45.0,43.0,52.0,52.0,65.0,66.0,70.0,53.0,62.0,54.0,52.0,55.0,37.0,52.0,49.0,30.0,52.0,55.0,55.0,43.0,47.0,45.0,11.0,13.0,8.0,14.0,9.0,LB,52,52,52,55,54,54,54,55,54,54,54,55,52,52,52,55,50,47,47,47,50,49,44,44,44,49,Aaron Splaine,172.72,163,1,0,0,0,1,0,0,1,DEF
12,318,213569,161644,2016-04-28,64.0,68.0,62.0,26.0,59.0,62.0,25.0,66.0,57.0,58.0,47.0,62.0,72.0,74.0,75.0,62.0,68.0,59.0,71.0,81.0,70.0,30.0,65.0,55.0,49.0,50.0,40.0,53.0,64.0,64.0,9.0,11.0,12.0,8.0,9.0,LWB,53,53,53,58,56,56,56,58,57,57,57,61,57,57,57,61,65,62,62,62,65,65,63,63,63,65,Aaron Taylor-Sinclair,182.88,176,1,0,1,0,0,0,0,1,DEF
13,336,2335,23499,2016-04-21,65.0,65.0,49.0,67.0,78.0,68.0,56.0,49.0,43.0,42.0,39.0,65.0,51.0,53.0,44.0,67.0,52.0,69.0,70.0,53.0,82.0,47.0,77.0,24.0,67.0,68.0,73.0,23.0,20.0,19.0,12.0,13.0,10.0,10.0,9.0,ST,67,67,67,60,63,63,63,60,62,62,62,59,56,56,56,59,44,46,46,46,44,42,45,45,45,42,Aaron Wilbraham,190.5,159,0,1,0,0,1,0,0,1,ATK
14,358,187939,120919,2016-05-12,75.0,75.0,70.0,77.0,63.0,75.0,77.0,78.0,69.0,63.0,68.0,78.0,79.0,77.0,81.0,74.0,77.0,78.0,58.0,74.0,62.0,74.0,39.0,40.0,78.0,70.0,85.0,26.0,27.0,24.0,7.0,10.0,8.0,15.0,10.0,LM,77,77,77,78,78,78,78,78,77,77,77,78,71,71,71,78,59,54,54,54,59,56,45,45,45,56,Aatif Chahechouhe,175.26,150,0,1,1,0,0,0,0,1,MID
15,379,192274,167027,2016-06-23,74.0,75.0,74.0,64.0,61.0,76.0,63.0,76.0,76.0,78.0,75.0,78.0,73.0,76.0,80.0,75.0,72.0,71.0,68.0,63.0,68.0,70.0,70.0,36.0,71.0,74.0,71.0,35.0,42.0,33.0,11.0,7.0,6.0,16.0,7.0,LM,69,69,69,74,73,73,73,74,74,74,74,73,70,70,70,73,59,58,58,58,59,55,51,51,51,55,Abdelaziz Barrada,177.8,161,0,1,0,0,1,0,0,1,MID
16,395,188145,128456,2016-03-17,73.0,75.0,65.0,17.0,66.0,64.0,24.0,51.0,23.0,23.0,56.0,63.0,68.0,66.0,50.0,68.0,59.0,59.0,73.0,64.0,74.0,38.0,85.0,72.0,48.0,52.0,32.0,75.0,76.0,77.0,9.0,11.0,10.0,8.0,9.0,CB,52,52,52,54,53,53,53,54,54,54,54,57,59,59,59,57,68,69,69,69,68,70,73,73,73,70,Abdelhamid El Kaoutari,180.34,161,1,0,0,0,1,0,0,1,DEF
17,416,178063,42664,2016-02-04,67.0,67.0,65.0,61.0,65.0,68.0,70.0,70.0,64.0,63.0,53.0,71.0,71.0,77.0,67.0,69.0,61.0,69.0,64.0,61.0,79.0,69.0,61.0,25.0,67.0,50.0,68.0,29.0,32.0,31.0,10.0,6.0,11.0,6.0,7.0,RW,67,67,67,67,66,66,66,67,65,65,65,65,58,58,58,65,53,52,52,52,53,50,49,49,49,50,Abdelkader Ghezzal,182.88,172,0,1,0,0,1,0,0,1,ATK
18,457,209399,467485,2016-02-04,63.0,72.0,42.0,52.0,39.0,64.0,40.0,72.0,67.0,45.0,56.0,67.0,75.0,78.0,82.0,62.0,72.0,48.0,65.0,62.0,53.0,52.0,40.0,23.0,46.0,64.0,46.0,32.0,33.0,40.0,8.0,13.0,8.0,15.0,8.0,CAM,56,56,56,62,61,61,61,62,63,63,63,62,58,58,58,62,51,48,48,48,51,48,42,42,42,48,Abdelmalek El Hasnaoui,180.34,159,1,0,0,0,1,0,0,1,MID
19,491,225711,563215,2016-04-28,66.0,77.0,42.0,30.0,61.0,59.0,37.0,47.0,41.0,32.0,67.0,50.0,67.0,69.0,46.0,59.0,64.0,42.0,76.0,72.0,68.0,24.0,72.0,57.0,30.0,33.0,41.0,67.0,73.0,70.0,12.0,7.0,7.0,7.0,8.0,CDM,45,45,45,45,44,44,44,45,45,45,45,48,49,49,49,48,59,59,59,59,59,61,64,64,64,61,Abdou Diallo,182.88,159,1,0,0,0,1,0,0,1,
20,501,187048,41093,2016-04-21,70.0,70.0,62.0,63.0,60.0,77.0,62.0,75.0,66.0,49.0,74.0,75.0,73.0,69.0,76.0,68.0,69.0,66.0,51.0,61.0,63.0,61.0,56.0,64.0,57.0,72.0,48.0,63.0,64.0,61.0,8.0,14.0,15.0,11.0,9.0,CDM,66,66,66,70,70,70,70,70,72,72,72,71,71,71,71,71,67,68,68,68,67,66,64,64,64,66,Abdou Traore,180.34,174,0,1,0,0,1,0,0,1,
21,526,225050,564712,2016-03-10,64.0,70.0,35.0,30.0,56.0,57.0,32.0,36.0,27.0,30.0,33.0,52.0,54.0,49.0,47.0,56.0,25.0,41.0,33.0,52.0,95.0,27.0,49.0,59.0,28.0,31.0,47.0,65.0,71.0,66.0,9.0,11.0,13.0,12.0,15.0,CB,45,45,45,42,42,42,42,42,42,42,42,43,45,45,45,43,55,57,57,57,55,57,64,64,64,57,Abdoul Ba,200.66,212,0,1,0,0,1,0,0,1,DEF
22,533,188232,67334,2016-01-21,72.0,73.0,67.0,70.0,50.0,71.0,46.0,74.0,55.0,53.0,59.0,73.0,84.0,88.0,74.0,62.0,62.0,71.0,71.0,77.0,67.0,53.0,64.0,44.0,68.0,64.0,53.0,42.0,47.0,43.0,12.0,15.0,14.0,11.0,6.0,RM,68,68,68,71,70,70,70,71,70,70,70,72,65,65,65,72,62,58,58,58,62,60,54,54,54,60,Abdoul Karim Yoda,182.88,161,1,0,0,0,1,0,0,1,MID
23,555,193953,173955,2016-04-21,72.0,73.0,69.0,72.0,64.0,69.0,63.0,76.0,69.0,49.0,64.0,73.0,85.0,84.0,78.0,65.0,74.0,76.0,71.0,72.0,70.0,70.0,68.0,26.0,71.0,74.0,52.0,20.0,29.0,27.0,11.0,16.0,13.0,12.0,16.0,ST,69,69,69,71,71,71,71,71,71,71,71,71,64,64,64,71,51,48,48,48,51,47,41,41,41,47,Abdoul Razzagui Camara,177.8,157,1,0,0,0,1,0,0,1,ATK
24,579,161999,39562,2016-04-21,75.0,75.0,75.0,50.0,66.0,78.0,65.0,71.0,68.0,57.0,74.0,74.0,79.0,79.0,79.0,76.0,72.0,71.0,76.0,69.0,75.0,64.0,73.0,77.0,68.0,57.0,50.0,70.0,75.0,74.0,12.0,15.0,10.0,11.0,14.0,RB,69,69,69,72,71,71,71,72,72,72,72,73,72,72,72,73,75,75,75,75,75,75,74,74,74,75,Abdoulay Konko,182.88,157,0,1,1,0,0,0,0,1,DEF
25,610,204826,191784,2016-06-09,73.0,77.0,35.0,22.0,81.0,58.0,30.0,35.0,36.0,59.0,42.0,53.0,40.0,53.0,34.0,63.0,31.0,58.0,73.0,64.0,83.0,50.0,81.0,70.0,25.0,40.0,68.0,74.0,76.0,71.0,11.0,12.0,12.0,15.0,15.0,CB,47,47,47,41,43,43,43,41,43,43,43,43,50,50,50,43,58,63,63,63,58,61,73,73,73,61,Abdoulaye Ba,198.12,174,0,1,0,1,0,0,0,1,DEF
26,641,199313,210400,2016-04-28,69.0,71.0,67.0,28.0,61.0,64.0,49.0,52.0,58.0,49.0,60.0,63.0,80.0,77.0,81.0,67.0,62.0,50.0,74.0,80.0,71.0,53.0,63.0,67.0,22.0,57.0,38.0,65.0,68.0,68.0,14.0,13.0,8.0,7.0,8.0,RB,51,51,51,57,53,53,53,57,56,56,56,59,59,59,59,59,68,66,66,66,68,69,67,67,67,69,Abdoulaye Bamba,182.88,150,0,1,0,0,1,0,0,1,DEF
27,656,202330,201915,2016-04-21,73.0,76.0,67.0,80.0,66.0,69.0,69.0,68.0,53.0,49.0,63.0,61.0,90.0,91.0,87.0,73.0,81.0,70.0,79.0,78.0,58.0,63.0,51.0,43.0,78.0,66.0,63.0,43.0,44.0,46.0,12.0,14.0,8.0,7.0,9.0,ST,71,71,71,72,71,71,71,72,70,70,70,72,65,65,65,72,62,57,57,57,62,60,53,53,53,60,Abdoulaye Diaby,172.72,154,1,0,1,0,0,0,0,1,ATK
28,676,204171,194479,2016-03-24,73.0,75.0,64.0,69.0,68.0,75.0,69.0,76.0,64.0,72.0,67.0,75.0,74.0,76.0,74.0,73.0,60.0,73.0,71.0,71.0,74.0,72.0,54.0,49.0,66.0,71.0,68.0,44.0,36.0,24.0,8.0,14.0,14.0,8.0,13.0,CF,71,71,71,71,72,72,72,71,72,72,72,71,68,68,68,71,58,61,61,61,58,54,51,51,51,54,"Abdoulaye Diallo Sadio,22",182.88,168,0,1,0,0,1,0,0,1,ATK
29,696,197233,189181,2016-04-21,69.0,74.0,12.0,11.0,13.0,34.0,14.0,15.0,15.0,14.0,25.0,17.0,42.0,40.0,57.0,71.0,52.0,19.0,66.0,31.0,75.0,12.0,18.0,24.0,11.0,24.0,20.0,19.0,20.0,12.0,70.0,63.0,63.0,70.0,75.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abdoulaye Diallo,187.96,174,0,1,0,0,1,0,0,1,GK
30,715,208135,352887,2016-03-03,73.0,79.0,68.0,70.0,66.0,75.0,67.0,75.0,41.0,42.0,74.0,75.0,65.0,67.0,60.0,68.0,64.0,75.0,71.0,83.0,75.0,74.0,75.0,71.0,58.0,77.0,45.0,69.0,71.0,65.0,15.0,12.0,12.0,15.0,14.0,CAM,69,69,69,70,71,71,71,70,72,72,72,71,73,73,73,71,71,73,73,73,71,70,70,70,70,70,Abdoulaye Doucoure,182.88,165,0,1,1,0,0,0,0,1,MID
31,766,210450,439366,2016-05-05,64.0,74.0,46.0,34.0,66.0,68.0,39.0,57.0,41.0,49.0,67.0,58.0,65.0,55.0,46.0,69.0,41.0,57.0,59.0,68.0,81.0,61.0,67.0,62.0,35.0,60.0,39.0,57.0,62.0,58.0,8.0,15.0,9.0,9.0,7.0,CM,54,54,54,54,55,55,55,54,57,57,57,57,61,61,61,57,60,64,64,64,60,61,64,64,64,61,Abdoulaye Toure,187.96,170,0,1,0,1,0,1,0,0,MID
32,773,189568,148827,2016-03-31,69.0,71.0,70.0,53.0,61.0,71.0,58.0,54.0,54.0,47.0,67.0,73.0,67.0,69.0,71.0,73.0,62.0,72.0,68.0,72.0,74.0,52.0,74.0,67.0,66.0,64.0,52.0,58.0,70.0,65.0,14.0,10.0,10.0,7.0,8.0,LB,62,62,62,63,63,63,63,63,65,65,65,65,66,66,66,65,64,67,67,67,64,65,65,65,65,65,Abdoulwahid Sissoko,182.88,165,1,0,1,0,0,0,0,1,DEF
33,803,190193,419681,2016-05-05,67.0,68.0,46.0,36.0,48.0,66.0,50.0,63.0,73.0,31.0,63.0,64.0,60.0,63.0,60.0,67.0,50.0,63.0,73.0,75.0,86.0,66.0,69.0,66.0,60.0,65.0,44.0,68.0,68.0,62.0,11.0,11.0,8.0,15.0,15.0,CDM,54,54,54,55,56,56,56,55,57,57,57,55,59,59,59,55,58,61,61,61,58,58,62,62,62,58,Abdul Aziz Tetteh,182.88,190,0,1,0,0,1,1,0,0,
34,816,198420,196947,2015-09-21,72.0,76.0,56.0,71.0,63.0,67.0,65.0,74.0,49.0,51.0,56.0,75.0,93.0,92.0,79.0,64.0,83.0,74.0,90.0,73.0,65.0,64.0,56.0,36.0,70.0,71.0,65.0,37.0,33.0,34.0,3.0,3.0,3.0,3.0,3.0,ST,72,72,72,73,73,73,73,73,72,72,72,72,65,65,65,72,57,54,54,54,57,55,50,50,50,55,Abdul Majeed Waris,172.72,157,0,1,0,0,1,0,1,0,ATK
35,836,184768,89405,2016-05-12,66.0,66.0,48.0,34.0,62.0,64.0,30.0,55.0,43.0,33.0,56.0,63.0,66.0,70.0,57.0,65.0,72.0,33.0,71.0,83.0,75.0,25.0,76.0,67.0,46.0,47.0,39.0,65.0,68.0,61.0,8.0,9.0,6.0,12.0,16.0,CDM,51,51,51,54,53,53,53,54,54,54,54,58,58,58,58,58,65,66,66,66,65,65,67,67,67,65,Abdul Osman,182.88,154,0,1,0,0,1,1,0,0,
36,858,209620,324910,2016-03-17,77.0,84.0,80.0,48.0,67.0,73.0,41.0,76.0,67.0,23.0,67.0,77.0,85.0,86.0,78.0,74.0,74.0,59.0,74.0,79.0,71.0,47.0,73.0,72.0,56.0,55.0,42.0,73.0,79.0,78.0,12.0,11.0,6.0,11.0,10.0,LM,65,65,65,70,67,67,67,70,68,68,68,72,69,69,69,72,78,74,74,74,78,78,75,75,75,78,Abdul Rahman Baba,177.8,154,1,0,1,0,0,0,0,1,MID
37,911,207716,307227,2016-04-21,63.0,68.0,36.0,34.0,62.0,41.0,40.0,38.0,33.0,34.0,43.0,49.0,64.0,66.0,65.0,58.0,54.0,42.0,70.0,72.0,70.0,39.0,80.0,65.0,30.0,42.0,44.0,61.0,63.0,57.0,16.0,12.0,8.0,11.0,7.0,CB,46,46,46,45,45,45,45,45,44,44,44,46,48,48,48,46,57,58,58,58,57,60,64,64,64,60,Abdullah Al Hafith,187.96,165,0,1,0,0,1,1,0,0,DEF
38,930,229026,525595,2016-04-21,71.0,76.0,70.0,36.0,59.0,76.0,40.0,65.0,51.0,47.0,74.0,70.0,75.0,75.0,66.0,76.0,65.0,62.0,75.0,82.0,69.0,48.0,68.0,70.0,73.0,67.0,51.0,59.0,68.0,72.0,9.0,16.0,14.0,11.0,15.0,RB,60,60,60,65,63,63,63,65,65,65,65,68,69,69,69,68,72,71,71,71,72,71,68,68,68,71,Abdullahi Shehu,180.34,159,0,1,0,0,1,0,0,1,DEF
39,936,177974,24385,2016-04-14,73.0,73.0,57.0,59.0,73.0,75.0,51.0,65.0,61.0,62.0,69.0,70.0,44.0,38.0,56.0,70.0,60.0,71.0,67.0,73.0,78.0,60.0,86.0,77.0,68.0,70.0,59.0,67.0,81.0,61.0,12.0,11.0,15.0,6.0,11.0,CM,65,65,65,63,65,65,65,63,66,66,66,64,71,71,71,64,67,73,73,73,67,67,73,73,73,67,Abel Aguilar,185.42,176,0,1,0,1,0,1,0,0,MID
40,985,188484,105548,2016-04-21,73.0,76.0,47.0,71.0,73.0,67.0,74.0,71.0,73.0,58.0,42.0,73.0,86.0,86.0,84.0,74.0,63.0,73.0,74.0,70.0,70.0,66.0,59.0,24.0,74.0,57.0,81.0,19.0,29.0,21.0,14.0,6.0,8.0,6.0,9.0,ST,74,74,74,71,72,72,72,71,69,69,69,69,61,61,61,69,52,48,48,48,52,50,45,45,45,50,Abel Hernandez,185.42,161,1,0,0,0,1,0,1,0,ATK
41,1009,208005,172875,2016-05-05,69.0,71.0,68.0,70.0,67.0,60.0,54.0,69.0,65.0,40.0,51.0,65.0,66.0,76.0,68.0,67.0,61.0,75.0,80.0,75.0,75.0,74.0,66.0,12.0,67.0,60.0,69.0,14.0,17.0,20.0,7.0,9.0,8.0,13.0,8.0,ST,68,68,68,66,67,67,67,66,65,65,65,64,56,56,56,64,49,49,49,49,49,46,45,45,45,46,Abel Issa Camara,185.42,179,0,1,0,0,1,0,0,1,ATK
42,1031,202153,240556,2016-03-24,68.0,71.0,63.0,50.0,66.0,66.0,42.0,66.0,40.0,41.0,59.0,64.0,70.0,69.0,69.0,66.0,60.0,48.0,82.0,72.0,72.0,51.0,72.0,70.0,40.0,49.0,55.0,70.0,70.0,71.0,9.0,6.0,7.0,10.0,8.0,LB,57,57,57,60,58,58,58,60,59,59,59,62,61,61,61,62,68,67,67,67,68,69,70,70,70,69,Abel Tamata,182.88,170,0,1,1,0,0,0,0,1,DEF
43,1051,159580,37422,2016-01-28,71.0,71.0,82.0,46.0,52.0,61.0,49.0,62.0,59.0,59.0,62.0,66.0,70.0,71.0,69.0,75.0,43.0,67.0,71.0,88.0,80.0,58.0,80.0,75.0,55.0,61.0,46.0,65.0,70.0,69.0,13.0,9.0,12.0,19.0,12.0,RB,62,62,62,66,63,63,63,66,63,63,63,68,66,66,66,68,75,71,71,71,75,74,71,71,71,74,Abella Perez Damia,187.96,174,0,1,1,0,0,0,0,1,DEF
44,1076,187175,114503,2016-06-09,67.0,67.0,43.0,78.0,57.0,57.0,64.0,61.0,49.0,42.0,48.0,58.0,77.0,78.0,72.0,63.0,73.0,75.0,47.0,62.0,67.0,65.0,52.0,34.0,64.0,44.0,45.0,34.0,31.0,23.0,16.0,15.0,7.0,12.0,13.0,ST,67,67,67,62,64,64,64,62,60,60,60,60,54,54,54,60,48,46,46,46,48,47,44,44,44,47,Abiola Dauda,180.34,165,0,1,0,0,1,0,1,0,ATK
45,1092,163423,27277,2015-09-21,75.0,75.0,69.0,65.0,77.0,74.0,75.0,79.0,63.0,58.0,72.0,80.0,73.0,77.0,74.0,74.0,56.0,84.0,65.0,73.0,83.0,70.0,77.0,72.0,75.0,77.0,74.0,69.0,74.0,73.0,13.0,7.0,13.0,9.0,12.0,CM,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,73,74,74,74,73,73,74,74,74,73,Abou Diaby,193.04,168,0,1,0,0,1,0,0,1,MID
46,1122,225541,581141,2015-09-21,61.0,70.0,33.0,65.0,67.0,59.0,52.0,63.0,45.0,43.0,42.0,61.0,64.0,65.0,59.0,59.0,69.0,59.0,66.0,62.0,57.0,55.0,33.0,13.0,58.0,50.0,72.0,22.0,23.0,21.0,6.0,14.0,12.0,7.0,11.0,RM,61,61,61,58,60,60,60,58,58,58,58,57,52,52,52,57,42,40,40,40,42,40,37,37,37,40,Aboubakar Kamara,177.8,168,0,1,0,0,1,0,0,1,MID
47,1144,159566,165706,2016-04-28,73.0,73.0,69.0,57.0,47.0,85.0,47.0,60.0,81.0,72.0,82.0,73.0,49.0,38.0,61.0,70.0,59.0,77.0,33.0,66.0,61.0,73.0,70.0,68.0,64.0,76.0,63.0,68.0,71.0,65.0,10.0,8.0,6.0,11.0,10.0,CAM,63,63,63,66,67,67,67,66,70,70,70,67,73,73,73,67,66,70,70,70,66,64,62,62,62,64,Abraham Gonzalez,177.8,176,0,1,0,0,1,0,0,1,MID
48,1186,198840,213695,2016-03-24,71.0,71.0,69.0,41.0,65.0,69.0,36.0,71.0,76.0,58.0,61.0,72.0,80.0,77.0,79.0,69.0,77.0,69.0,73.0,72.0,76.0,60.0,69.0,72.0,67.0,67.0,57.0,71.0,72.0,70.0,11.0,8.0,7.0,14.0,11.0,LM,64,64,64,68,67,67,67,68,68,68,68,69,69,69,69,69,73,71,71,71,73,73,72,72,72,73,Abraham Minero,175.26,157,1,0,1,0,0,0,0,1,MID
49,1241,112392,25571,2016-03-31,76.0,76.0,64.0,68.0,60.0,82.0,67.0,78.0,68.0,71.0,71.0,81.0,66.0,67.0,63.0,74.0,80.0,80.0,62.0,34.0,91.0,70.0,70.0,55.0,67.0,81.0,76.0,44.0,59.0,58.0,8.0,16.0,12.0,11.0,12.0,CM,72,72,72,71,73,73,73,71,73,73,73,71,72,72,72,71,63,66,66,66,63,62,64,64,64,62,Achille Emana,180.34,170,0,1,1,0,0,0,1,0,MID
50,1270,229149,660145,2016-02-04,61.0,71.0,57.0,50.0,40.0,54.0,59.0,67.0,65.0,40.0,48.0,63.0,77.0,82.0,74.0,55.0,77.0,34.0,70.0,55.0,48.0,44.0,44.0,23.0,55.0,55.0,39.0,24.0,23.0,22.0,7.0,6.0,13.0,6.0,15.0,RW,54,54,54,62,58,58,58,62,59,59,59,61,52,52,52,61,47,41,41,41,47,44,36,36,36,44,Achille Vaarnold,175.26,157,1,0,0,0,1,0,0,1,ATK
51,1278,206161,293235,2016-04-21,73.0,78.0,73.0,43.0,57.0,69.0,51.0,75.0,67.0,40.0,67.0,77.0,79.0,82.0,78.0,75.0,70.0,77.0,70.0,85.0,65.0,71.0,71.0,67.0,63.0,59.0,48.0,69.0,73.0,73.0,10.0,11.0,6.0,13.0,13.0,LB,66,66,66,70,69,69,69,70,69,69,69,71,70,70,70,71,74,71,71,71,74,74,70,70,70,74,Achraf Lazaar,182.88,168,1,0,1,0,0,1,0,0,DEF
52,1307,158505,26331,2015-09-21,67.0,67.0,43.0,39.0,73.0,56.0,33.0,45.0,28.0,41.0,53.0,52.0,33.0,53.0,47.0,65.0,47.0,71.0,34.0,51.0,84.0,52.0,76.0,59.0,31.0,53.0,48.0,68.0,72.0,66.0,15.0,11.0,11.0,15.0,9.0,CB,52,52,52,47,49,49,49,47,49,49,49,48,53,53,53,48,56,62,62,62,56,59,67,67,67,59,Adailton,190.5,187,0,1,0,0,1,0,0,1,DEF
53,1344,221841,519835,2016-06-09,67.0,83.0,45.0,71.0,57.0,59.0,56.0,67.0,68.0,61.0,55.0,64.0,90.0,92.0,76.0,61.0,88.0,65.0,75.0,72.0,58.0,67.0,78.0,36.0,70.0,48.0,68.0,20.0,17.0,21.0,10.0,13.0,13.0,12.0,7.0,ST,65,65,65,64,65,65,65,64,63,63,63,63,57,57,57,63,48,44,44,44,48,46,39,39,39,46,Adam Armstrong,172.72,152,0,1,1,0,0,0,0,1,ATK
