,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,player_positions_general
0,CB,218353,0.37186912808742967,0.4928713830110841,-0.2146414025656864,-0.2300503027756448,-0.5065243910233583,0.2635117204665047,-0.4573442791036974,0.2065942358887795,-0.1187660170905356,-0.1421469339089034,0.13846485290632074,0.060678612642663415,0.011660126522972748,0.018284747776865902,DEF
1,LB,189615,-1.0532509413691709,-0.19172130237534657,1.1241933591123685,0.5706709895501797,-0.4454320241879199,-0.15716042022397675,-0.4186552203319865,0.4160499598977309,0.22425854424134145,0.04121603926364268,-0.029245544502044325,-0.2255403526197331,0.05586357943408998,-0.10138435002258762,DEF
2,"CB, RB",140161,0.5881551118084317,0.6046721290178694,-0.22997281437154235,-0.06896408814903113,-0.5447475783364046,0.36000882285637387,-0.49465183437044236,-0.040109809516633115,0.0643873865595556,-0.1526829747493181,0.24408587045513,-0.05106368774862373,0.10067821031963284,-0.08810323708608042,DEF
3,CB,17725,0.6375966805038416,0.6496046942830178,-0.23265381199160526,-0.01277253708474227,-0.5859819990955065,0.3452000630004154,-0.4685410234012258,0.11259387115297442,0.031378154379931786,-0.1347572669494523,0.23281635907724185,-0.03766826484973411,0.43407632088959086,-0.0018875310791664208,DEF
4,"CAM, CM, LM",158138,-0.5369100998062755,0.02292852557206709,1.1144950000429912,-0.7598990340782664,0.319729346213867,-0.19483404003353155,-0.5847891275548353,-0.32914350549350885,0.053518843917840266,0.1653163728478112,-0.056877439098626956,-0.0010452961066144944,0.03894155436295986,-0.020525170676643622,MID
5,"CDM, CM",221280,0.12248121599932332,0.6763899067302085,-0.6639067931359591,0.25991135551040195,0.604384687244698,-0.4302002074223253,-0.4772062429368738,0.49805234999929304,-0.2560183002434593,0.03014452649342205,0.06285033388842416,-0.029090971371977754,0.10714642574762802,0.052981259679513525,MID
6,"RM, LM",152747,-0.7835139617947308,-1.1527494273780943,-0.1529712353639611,-0.006640375704787699,-0.35453535630667843,-0.3753659527637479,-0.45261671395521563,0.4295427127130851,-0.0032285513051199853,0.13542437661591888,-0.16228789202223962,0.03855993492864581,0.05996008341383367,0.12052516857270122,MID
7,LB,188621,-0.3354352814939789,0.5401901034412268,1.1145641122174441,-0.3485581734240692,-0.04171773025669489,-0.0695816888033384,-0.4878625279287362,0.1337395494170858,0.053473809934582055,0.03701053346635461,-0.022273899990417668,-0.132908505225079,-0.13243051664316607,0.05265659200171027,DEF
8,"CM, CAM",194958,-0.4347616843933362,0.21007633370829634,-0.19913015183264549,-0.7997315356504099,-0.32455448132751485,-0.21391999803645284,-0.5267567158289376,0.04398840635443071,0.2363714989356449,0.17109987180123615,0.1270259365356521,-0.10200542259712789,-0.06943434919346937,0.038100574409962305,MID
9,"LW, RW, CAM",183853,-0.29048850774858875,-0.06683015291183642,1.1574427755586412,-0.6643153389057914,0.3312941490593385,-0.25658509941450025,-0.5004293405838776,0.20400764396240623,-0.23408304405908148,0.17420312192541743,-0.10003632911485841,-0.1328027713378958,0.0561117828504538,-0.05472628369631816,MID
10,"CM, RW, CDM",186561,-1.4987990255040682,-0.06290247304308288,-0.7309763206185342,0.6729608212084919,0.2783733271309516,-0.48627561135926806,-0.5572859045186992,-0.1505889947686718,0.24782659865582352,0.042889656859558714,0.13009983589450932,0.08420341026102422,0.11596895149748616,0.09022930382064454,
11,"LM, LB",226014,0.33518118854091294,0.0976045568331802,1.172305116320945,-0.27111535559519906,0.22366243979220796,0.009407795317243353,-0.43987718178914065,0.42394713626692127,-0.49338509911467743,0.06347180125822614,0.2796631632393576,0.00011197121513020357,0.07501601845656337,0.07362153499737055,DEF
12,"LB, LWB",213569,-0.41266896439799705,-0.26707342244081317,1.123487822835533,0.861008762013174,-0.3873861619167589,0.16877965040388787,-0.40370384876771004,0.34088112499241147,-0.12535414292985006,-0.2066579931640269,-0.009598817975313482,0.01350499404432019,-0.14976319304767513,-0.09785234758993092,DEF
