,Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
18,PCA-with-label_AggClustering_nc:18_link:complete_aff:euclidean,PCA-with-label,Agg_Clustering,18,complete,euclidean,0.1496905162231813
38,PCA-with-label_AggClustering_nc:18_link:complete_aff:l2,PCA-with-label,Agg_Clustering,18,complete,l2,0.1496905162231813
37,PCA-with-label_AggClustering_nc:16_link:complete_aff:l2,PCA-with-label,Agg_Clustering,16,complete,l2,0.14755031111736025
17,PCA-with-label_AggClustering_nc:16_link:complete_aff:euclidean,PCA-with-label,Agg_Clustering,16,complete,euclidean,0.14755031111736025
15,PCA-with-label_AggClustering_nc:12_link:complete_aff:euclidean,PCA-with-label,Agg_Clustering,12,complete,euclidean,0.1460575042091311
35,PCA-with-label_AggClustering_nc:12_link:complete_aff:l2,PCA-with-label,Agg_Clustering,12,complete,l2,0.1460575042091311
50,PCA-with-label_AggClustering_nc:2_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,2,complete,cosine,0.13782562486168223
32,PCA-with-label_AggClustering_nc:6_link:complete_aff:l2,PCA-with-label,Agg_Clustering,6,complete,l2,0.13558815797199128
12,PCA-with-label_AggClustering_nc:6_link:complete_aff:euclidean,PCA-with-label,Agg_Clustering,6,complete,euclidean,0.13558815797199128
13,PCA-with-label_AggClustering_nc:8_link:complete_aff:euclidean,PCA-with-label,Agg_Clustering,8,complete,euclidean,0.13072398599713528
33,PCA-with-label_AggClustering_nc:8_link:complete_aff:l2,PCA-with-label,Agg_Clustering,8,complete,l2,0.13072398599713528
51,PCA-with-label_AggClustering_nc:4_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,4,complete,cosine,0.11351681559696254
52,PCA-with-label_AggClustering_nc:6_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,6,complete,cosine,0.0823682761810735
150,PCA-with-label_AggClustering_nc:2_link:single_aff:cosine,PCA-with-label,Agg_Clustering,2,single,cosine,0.08021647327062383
151,PCA-with-label_AggClustering_nc:4_link:single_aff:cosine,PCA-with-label,Agg_Clustering,4,single,cosine,-0.00022709586380425267
155,PCA-with-label_AggClustering_nc:12_link:single_aff:cosine,PCA-with-label,Agg_Clustering,12,single,cosine,-0.012409307180476281
152,PCA-with-label_AggClustering_nc:6_link:single_aff:cosine,PCA-with-label,Agg_Clustering,6,single,cosine,-0.02617749621628937
153,PCA-with-label_AggClustering_nc:8_link:single_aff:cosine,PCA-with-label,Agg_Clustering,8,single,cosine,-0.04138150159553856
154,PCA-with-label_AggClustering_nc:10_link:single_aff:cosine,PCA-with-label,Agg_Clustering,10,single,cosine,-0.05821880602278527
