,Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
8,PCA-no-label_AggClustering_nc:18_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,18,ward,euclidean,0.33214665734561266
109,PCA-no-label_AggClustering_nc:20_link:average_aff:cosine,PCA-no-label,Agg_Clustering,20,average,cosine,0.3304305133546137
9,PCA-no-label_AggClustering_nc:20_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,20,ward,euclidean,0.3217494918646746
107,PCA-no-label_AggClustering_nc:16_link:average_aff:cosine,PCA-no-label,Agg_Clustering,16,average,cosine,0.32092173321783407
102,PCA-no-label_AggClustering_nc:6_link:average_aff:cosine,PCA-no-label,Agg_Clustering,6,average,cosine,0.31913619678039207
82,PCA-no-label_AggClustering_nc:6_link:average_aff:l2,PCA-no-label,Agg_Clustering,6,average,l2,0.3147603989273711
62,PCA-no-label_AggClustering_nc:6_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,6,average,euclidean,0.3147603989273711
155,PCA-no-label_AggClustering_nc:12_link:single_aff:cosine,PCA-no-label,Agg_Clustering,12,single,cosine,0.3127532736323969
2,PCA-no-label_AggClustering_nc:6_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,6,ward,euclidean,0.30852743454699944
97,PCA-no-label_AggClustering_nc:16_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,16,average,manhattan,0.30832682272604556
77,PCA-no-label_AggClustering_nc:16_link:average_aff:l1,PCA-no-label,Agg_Clustering,16,average,l1,0.30832682272604556
104,PCA-no-label_AggClustering_nc:10_link:average_aff:cosine,PCA-no-label,Agg_Clustering,10,average,cosine,0.30419821481759207
138,PCA-no-label_AggClustering_nc:18_link:single_aff:l2,PCA-no-label,Agg_Clustering,18,single,l2,0.3035910398998704
118,PCA-no-label_AggClustering_nc:18_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,18,single,euclidean,0.3035910398998704
23,PCA-no-label_AggClustering_nc:8_link:complete_aff:l1,PCA-no-label,Agg_Clustering,8,complete,l1,0.2883294251320458
43,PCA-no-label_AggClustering_nc:8_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,8,complete,manhattan,0.2883294251320458
129,PCA-no-label_AggClustering_nc:20_link:single_aff:l1,PCA-no-label,Agg_Clustering,20,single,l1,0.28657048576801186
149,PCA-no-label_AggClustering_nc:20_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,20,single,manhattan,0.28657048576801186
127,PCA-no-label_AggClustering_nc:16_link:single_aff:l1,PCA-no-label,Agg_Clustering,16,single,l1,0.2841509361576232
147,PCA-no-label_AggClustering_nc:16_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,16,single,manhattan,0.2841509361576232
103,PCA-no-label_AggClustering_nc:8_link:average_aff:cosine,PCA-no-label,Agg_Clustering,8,average,cosine,0.2813337308040542
148,PCA-no-label_AggClustering_nc:18_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,18,single,manhattan,0.2746135207397233
